23/04/01, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/04/22, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/04/23, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/04/24, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/04/25, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/04/26, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/04/27, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ角度 B1(外部軸) (deg), 絶対ﾅｾﾙ方位角θ1 (deg)
23/04/28, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 充電率 (%), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V)
23/04/29, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
23/04/30, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ2 (deg)
23/05/01, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/05/02, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 39 吸気温度 (degC)
23/05/03, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/05/04, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/05/05, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), ﾅｾﾙ方位角 (0-360) (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
23/05/06, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), PCS 101 有効電力指令 (kW)
23/05/07, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/05/08, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/05/09, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/05/10, ﾋﾟｯﾁ1 充電率 (%), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/05/11, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/05/12, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V)
23/05/13, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/05/14, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/05/15, ﾋﾟｯﾁ1 充電率 (%), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/05/16, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾋﾟｯﾁ1 充電率 (%), 絶対ﾅｾﾙ方位角θ1 (deg)
23/05/17, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/05/18, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
23/05/19, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/05/20, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/05/21, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg)
23/05/22, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/05/23, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
23/05/24, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/05/25, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 充電率 (%), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/05/26, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ2 (deg)
23/05/27, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ2 (deg)
23/05/28, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 油圧ﾕﾆｯﾄ ﾖｰﾌﾞﾚｰｷ ｷｬﾘﾊﾟｰ油圧 (MPa), 絶対ﾅｾﾙ方位角θ2 (deg)
23/05/29, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/05/30, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V)
23/05/31, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/06/01, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V)
23/06/02, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/06/03, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/06/04, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 充電率 (%), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/06/05, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/06/06, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/06/07, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg)
23/06/08, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 充電率 (%)
23/06/09, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/06/10, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/06/11, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/06/12, ﾋﾟｯﾁ1 充電率 (%), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), ﾅｾﾙ方位角 (0-360) (deg), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ1 (deg)
23/06/13, ﾋﾟｯﾁ1 充電率 (%), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg)
23/06/14, ﾋﾟｯﾁ1 充電率 (%), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg)
23/06/15, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), 絶対ﾅｾﾙ方位角θ1 (deg)
23/06/16, ﾋﾟｯﾁ1 充電率 (%), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), ﾅｾﾙ方位角 (0-360) (deg), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ1 (deg)
23/06/17, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ角度 B1(外部軸) (deg), 絶対ﾅｾﾙ方位角θ1 (deg)
23/06/18, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/06/19, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/06/20, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/06/21, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 101 有効電力指令 (kW)
23/06/22, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg)
23/06/23, ﾋﾟｯﾁ1 充電率 (%), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), ﾅｾﾙ方位角 (0-360) (deg), 増速機 加速度 後方Z (m/s^2), 絶対風向 右側 (deg)
23/06/24, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/06/25, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/06/26, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/06/27, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), PCS 101 有効電力指令 (kW)
23/06/28, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 発電機ｼｽﾃﾑ電力 (kW)
23/06/29, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), PCS 101 有効電力指令 (kW), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機ｼｽﾃﾑ電力 (kW)
23/06/30, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), ﾅｾﾙ方位角 (0-360) (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
23/07/01, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 充電率 (%)
23/07/02, ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾋﾟｯﾁ1 充電率 (%), 絶対ﾅｾﾙ方位角θ1 (deg), 増速機 加速度 後方Z (m/s^2)
23/07/03, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/07/04, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/07/05, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/07/06, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/07/07, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
23/07/08, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), ﾅｾﾙ方位角 (0-360) (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
23/07/09, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/07/10, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/07/11, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 主軸軸受温度 (degC), 絶対ﾅｾﾙ方位角θ1 (deg)
23/07/12, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/07/13, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/07/14, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機 ｽﾃｰﾀｰU相温度 (degC)
